工号,部门,性别,年龄,司龄,职级,月薪档,在职状态
E1053,职能,男,33,10.2,P3,15-25k,在职
E1054,销售,男,42,2.9,P4,25-35k,本年离职
E1055,产品,女,29,0.4,P3,15-25k,本年离职
E1056,销售,男,40,0.2,P5,35-50k,在职
E1057,市场,男,24,2.0,P4,25-35k,在职
E1058,职能,男,22,0.0,P2,10-15k,在职
E1059,职能,女,23,1.0,P1,6-10k,本年离职
E1060,市场,女,27,3.6,P4,25-35k,在职
E1061,客服,女,31,7.1,P3,15-25k,在职
E1062,销售,男,25,2.7,P5,35-50k,在职
E1063,销售,男,31,6.6,P1,6-10k,在职
E1064,产品,女,34,1.9,P6,50k+,本年离职
E1065,技术,女,33,0.2,P6,50k+,在职
E1066,技术,男,30,0.1,P2,10-15k,在职
E1067,技术,男,38,2.3,P1,6-10k,在职
E1068,销售,男,26,4.0,P2,10-15k,在职
E1069,客服,男,29,3.0,P3,15-25k,在职
E1070,职能,男,27,3.8,P2,10-15k,在职
E1071,客服,男,34,0.1,P1,6-10k,在职
E1072,技术,男,28,3.3,P4,25-35k,在职
E1073,技术,女,33,1.8,P2,10-15k,在职
E1074,技术,男,35,1.4,P4,25-35k,在职
E1075,销售,男,27,3.8,P2,10-15k,在职
E1076,技术,女,22,0.0,P4,25-35k,在职
E1077,技术,男,29,0.2,P2,10-15k,在职
E1078,技术,女,26,0.6,P2,10-15k,在职
E1079,市场,男,27,0.8,P4,25-35k,在职
E1080,客服,女,22,0.0,P2,10-15k,在职
E1081,技术,男,22,0.0,P2,10-15k,在职
E1082,技术,女,35,2.1,P3,15-25k,在职
E1083,产品,男,25,3.0,P3,15-25k,在职
E1084,销售,男,37,0.1,P3,15-25k,在职
E1085,产品,男,26,0.7,P1,6-10k,在职
E1086,技术,女,33,0.8,P5,35-50k,在职
E1087,技术,男,29,0.4,P1,6-10k,在职
E1088,销售,男,34,0.2,P4,25-35k,在职
E1089,技术,女,29,0.7,P4,25-35k,在职
E1090,销售,男,32,0.1,P2,10-15k,在职
E1091,职能,男,38,2.0,P3,15-25k,在职
E1092,客服,男,33,0.0,P3,15-25k,在职
E1093,产品,男,26,0.4,P3,15-25k,在职
E1094,职能,男,22,0.0,P4,25-35k,在职
E1095,销售,男,30,2.6,P3,15-25k,在职
E1096,技术,女,33,1.5,P4,25-35k,在职
E1097,技术,女,31,1.7,P2,10-15k,在职
E1098,销售,女,25,3.0,P3,15-25k,在职
E1099,客服,男,31,0.2,P3,15-25k,本年离职
E1100,客服,男,34,0.4,P5,35-50k,在职
E1101,销售,女,39,3.0,P4,25-35k,在职
E1102,职能,女,29,1.3,P1,6-10k,在职
E1103,技术,男,45,6.1,P4,25-35k,在职
E1104,职能,女,39,2.6,P3,15-25k,在职
E1105,技术,女,32,2.7,P4,25-35k,本年离职
E1106,产品,女,32,0.2,P2,10-15k,在职
E1107,职能,男,39,0.6,P4,25-35k,在职
E1108,产品,女,25,1.2,P2,10-15k,在职
E1109,技术,男,26,2.3,P5,35-50k,在职
E1110,客服,男,23,0.8,P3,15-25k,在职
E1111,技术,男,29,0.1,P2,10-15k,在职
E1112,技术,女,25,0.4,P4,25-35k,在职
E1113,产品,女,28,1.5,P3,15-25k,本年离职
E1114,市场,男,30,0.6,P2,10-15k,在职
E1115,产品,男,22,0.0,P3,15-25k,在职
E1116,客服,女,39,5.5,P2,10-15k,在职
E1117,技术,女,38,6.5,P2,10-15k,在职
E1118,销售,男,28,1.0,P3,15-25k,在职
E1119,技术,女,39,0.4,P2,10-15k,在职
E1120,技术,男,33,2.1,P1,6-10k,本年离职
E1121,技术,男,37,0.9,P2,10-15k,在职
E1122,技术,男,22,0.0,P3,15-25k,在职
E1123,市场,男,28,1.1,P3,15-25k,在职
E1124,客服,女,34,0.8,P3,15-25k,在职
E1125,客服,男,30,5.3,P5,35-50k,在职
E1126,销售,男,29,1.1,P2,10-15k,在职
E1127,产品,男,30,0.2,P4,25-35k,在职
E1128,技术,女,33,2.0,P3,15-25k,在职
E1129,技术,男,31,5.9,P3,15-25k,在职
E1130,销售,女,40,0.4,P3,15-25k,本年离职
E1131,销售,男,25,0.3,P2,10-15k,在职
E1132,销售,男,31,1.0,P3,15-25k,在职
E1133,职能,男,35,0.1,P3,15-25k,在职
E1134,技术,男,23,1.0,P2,10-15k,在职
E1135,技术,男,28,1.3,P2,10-15k,在职
E1136,客服,男,32,1.9,P4,25-35k,在职
E1137,技术,女,40,0.8,P4,25-35k,在职
E1138,客服,女,31,1.2,P3,15-25k,在职
E1139,技术,女,35,1.1,P4,25-35k,在职
E1140,技术,男,35,5.6,P4,25-35k,在职
E1141,销售,男,22,0.0,P3,15-25k,在职
E1142,技术,女,31,2.6,P3,15-25k,在职
E1143,客服,男,28,0.4,P1,6-10k,在职
E1144,销售,女,40,0.9,P1,6-10k,在职
E1145,销售,女,35,7.2,P3,15-25k,本年离职
E1146,产品,男,36,2.2,P3,15-25k,在职
E1147,技术,男,34,6.5,P2,10-15k,在职
E1148,销售,男,31,9.0,P3,15-25k,在职
E1149,技术,男,36,0.0,P2,10-15k,在职
E1150,销售,男,30,6.4,P4,25-35k,在职
E1151,产品,女,38,0.3,P2,10-15k,在职
E1152,客服,男,24,2.0,P3,15-25k,在职
E1153,销售,男,37,1.3,P6,50k+,在职
E1154,客服,男,28,6.0,P3,15-25k,在职
E1155,技术,男,35,0.3,P3,15-25k,在职
E1156,职能,女,22,0.0,P2,10-15k,在职
E1157,销售,男,32,3.4,P1,6-10k,在职
E1158,技术,男,30,0.1,P5,35-50k,在职
E1159,技术,女,30,4.3,P4,25-35k,本年离职
E1160,职能,女,22,0.0,P4,25-35k,在职
E1161,产品,男,31,5.0,P6,50k+,在职
E1162,技术,男,31,0.6,P1,6-10k,在职
E1163,市场,女,22,0.0,P4,25-35k,在职
E1164,技术,男,24,1.0,P2,10-15k,在职
E1165,技术,男,31,1.2,P3,15-25k,在职
E1166,技术,男,33,1.6,P4,25-35k,本年离职
E1167,销售,男,30,0.7,P3,15-25k,在职
E1168,客服,男,31,7.6,P2,10-15k,本年离职
E1169,客服,女,31,1.1,P5,35-50k,在职
E1170,产品,女,27,3.4,P3,15-25k,在职
E1171,技术,女,29,0.0,P5,35-50k,在职
E1172,客服,女,22,0.0,P3,15-25k,在职
E1173,职能,男,27,4.4,P2,10-15k,在职
E1174,技术,男,30,1.6,P5,35-50k,在职
E1175,客服,女,38,5.2,P4,25-35k,在职
E1176,客服,女,30,6.3,P1,6-10k,在职
E1177,产品,女,43,5.8,P3,15-25k,在职
E1178,客服,男,42,4.1,P1,6-10k,在职
E1179,市场,男,31,2.3,P4,25-35k,在职
E1180,客服,女,28,0.9,P3,15-25k,在职
E1181,产品,男,44,3.6,P2,10-15k,在职
E1182,产品,女,35,0.4,P1,6-10k,在职
E1183,销售,男,33,0.2,P2,10-15k,在职
E1184,技术,女,26,3.6,P2,10-15k,在职
E1185,销售,男,28,2.7,P6,50k+,本年离职
E1186,销售,女,24,1.3,P6,50k+,本年离职
E1187,技术,男,39,5.7,P3,15-25k,在职
E1188,客服,女,34,0.3,P5,35-50k,在职
E1189,技术,男,29,1.3,P4,25-35k,本年离职
E1190,客服,男,28,4.9,P4,25-35k,在职
E1191,销售,男,25,0.0,P2,10-15k,在职
E1192,销售,女,30,1.1,P4,25-35k,在职
E1193,客服,男,32,1.5,P6,50k+,在职
E1194,销售,女,22,0.0,P4,25-35k,本年离职
E1195,技术,男,25,3.0,P3,15-25k,在职
E1196,技术,女,26,4.0,P1,6-10k,在职
E1197,市场,男,37,0.6,P2,10-15k,在职
E1198,职能,女,27,0.6,P3,15-25k,在职
E1199,销售,男,22,0.0,P2,10-15k,在职
E1200,技术,女,24,1.2,P3,15-25k,在职
E1201,客服,女,41,4.7,P4,25-35k,在职
E1202,市场,男,28,3.9,P5,35-50k,在职
E1203,销售,女,24,2.0,P4,25-35k,在职
E1204,职能,男,22,0.0,P3,15-25k,在职
E1205,产品,女,31,0.1,P2,10-15k,在职
E1206,职能,男,31,1.0,P3,15-25k,在职
E1207,产品,女,33,2.0,P4,25-35k,在职
E1208,技术,男,47,4.5,P3,15-25k,本年离职
E1209,技术,男,23,1.0,P5,35-50k,在职
E1210,客服,女,28,0.7,P2,10-15k,在职
E1211,职能,男,32,0.9,P3,15-25k,在职
E1212,技术,女,28,3.9,P4,25-35k,本年离职
E1213,技术,女,22,0.0,P5,35-50k,本年离职
E1214,技术,男,34,0.7,P3,15-25k,在职
E1215,技术,男,27,0.8,P3,15-25k,在职
E1216,销售,男,24,1.6,P5,35-50k,在职
E1217,市场,女,25,1.9,P3,15-25k,在职
E1218,技术,女,40,3.4,P1,6-10k,在职
E1219,销售,女,38,7.5,P3,15-25k,在职
E1220,销售,男,24,2.0,P3,15-25k,在职
E1221,技术,男,22,0.0,P4,25-35k,在职
E1222,职能,女,36,10.2,P1,6-10k,在职
E1223,销售,女,43,1.1,P3,15-25k,在职
E1224,职能,男,44,1.8,P3,15-25k,在职
E1225,市场,男,22,0.0,P3,15-25k,在职
E1226,客服,男,39,0.4,P2,10-15k,本年离职
E1227,市场,女,30,2.2,P4,25-35k,本年离职
E1228,职能,男,22,0.0,P4,25-35k,在职
E1229,销售,男,25,0.2,P2,10-15k,本年离职
E1230,技术,女,26,2.3,P4,25-35k,在职
E1231,技术,男,33,2.1,P3,15-25k,本年离职
E1232,销售,男,22,0.0,P3,15-25k,在职
E1233,职能,女,36,3.0,P4,25-35k,在职
E1234,销售,女,33,2.9,P2,10-15k,在职
E1235,技术,女,37,2.3,P2,10-15k,在职
E1236,技术,女,27,2.6,P5,35-50k,在职
E1237,销售,女,33,0.6,P2,10-15k,在职
E1238,产品,男,24,1.6,P5,35-50k,在职
E1239,市场,男,35,6.2,P3,15-25k,在职
E1240,技术,男,29,5.1,P1,6-10k,在职
E1241,产品,女,30,2.3,P2,10-15k,在职
E1242,销售,女,30,0.3,P1,6-10k,在职
E1243,客服,女,22,0.0,P4,25-35k,本年离职
E1244,客服,男,38,1.1,P2,10-15k,本年离职
E1245,产品,男,31,3.0,P3,15-25k,在职
E1246,产品,男,38,1.8,P4,25-35k,在职
E1247,客服,男,37,4.3,P5,35-50k,本年离职
E1248,客服,男,26,0.8,P4,25-35k,在职
E1249,市场,男,29,1.1,P3,15-25k,在职
E1250,销售,女,22,0.0,P2,10-15k,在职
E1251,职能,男,38,0.6,P2,10-15k,在职
E1252,市场,女,32,0.3,P2,10-15k,在职
E1253,职能,男,32,4.6,P6,50k+,本年离职
E1254,职能,女,29,3.7,P4,25-35k,在职
E1255,市场,女,25,1.1,P2,10-15k,在职
E1256,客服,男,38,1.0,P3,15-25k,在职
E1257,客服,男,43,4.4,P2,10-15k,本年离职
E1258,产品,女,38,3.9,P3,15-25k,在职
E1259,客服,女,29,2.6,P1,6-10k,在职
E1260,产品,女,33,4.2,P4,25-35k,在职
E1261,技术,男,37,0.3,P3,15-25k,本年离职
E1262,技术,女,31,4.2,P3,15-25k,在职
E1263,技术,女,42,2.3,P2,10-15k,在职
E1264,产品,男,38,1.6,P3,15-25k,在职
E1265,客服,女,47,0.1,P3,15-25k,在职
E1266,产品,男,32,5.1,P1,6-10k,在职
E1267,客服,男,22,0.0,P1,6-10k,在职
E1268,技术,男,31,0.5,P3,15-25k,在职
E1269,技术,男,28,2.5,P3,15-25k,在职
E1270,技术,女,32,0.7,P3,15-25k,在职
E1271,销售,男,41,1.0,P5,35-50k,在职
E1272,客服,男,27,5.0,P6,50k+,在职
E1273,技术,男,26,0.2,P4,25-35k,在职
E1274,产品,男,27,1.5,P1,6-10k,在职
E1275,客服,男,43,0.4,P2,10-15k,在职
E1276,销售,女,28,3.2,P4,25-35k,在职
E1277,产品,女,32,1.6,P5,35-50k,在职
E1278,销售,女,42,0.5,P5,35-50k,在职
E1279,职能,女,34,5.1,P3,15-25k,本年离职
E1280,产品,女,22,0.0,P4,25-35k,在职
E1281,市场,男,28,0.9,P2,10-15k,在职
E1282,职能,男,27,0.6,P3,15-25k,在职
E1283,技术,男,22,0.0,P1,6-10k,在职
E1284,职能,男,28,3.3,P2,10-15k,在职
E1285,客服,男,22,0.0,P4,25-35k,在职
E1286,技术,男,32,5.5,P2,10-15k,在职
E1287,技术,男,31,0.7,P4,25-35k,在职
E1288,销售,男,26,0.3,P4,25-35k,在职
E1289,市场,男,22,0.0,P4,25-35k,在职
E1290,销售,女,39,0.6,P5,35-50k,在职
E1291,客服,女,27,1.5,P4,25-35k,在职
E1292,技术,女,37,0.6,P3,15-25k,在职
E1293,技术,女,30,4.2,P4,25-35k,在职
E1294,技术,女,39,3.4,P2,10-15k,在职
E1295,职能,女,34,10.6,P4,25-35k,在职
E1296,技术,男,31,4.5,P5,35-50k,在职
E1297,销售,女,25,0.6,P3,15-25k,在职
E1298,客服,男,38,8.8,P1,6-10k,在职
E1299,技术,女,29,4.7,P2,10-15k,在职
E1300,技术,男,26,1.9,P1,6-10k,在职
E1301,客服,男,30,0.3,P3,15-25k,在职
E1302,技术,女,30,1.2,P4,25-35k,在职
E1303,销售,男,36,3.1,P1,6-10k,本年离职
E1304,销售,男,22,0.0,P3,15-25k,在职
E1305,市场,男,45,1.0,P3,15-25k,在职
E1306,技术,男,33,4.8,P5,35-50k,在职
E1307,客服,女,30,6.7,P2,10-15k,在职
E1308,职能,女,33,3.2,P3,15-25k,在职
E1309,技术,女,22,0.0,P1,6-10k,在职
E1310,技术,男,31,1.0,P3,15-25k,在职
E1311,市场,男,34,5.9,P2,10-15k,在职
E1312,销售,女,29,6.6,P2,10-15k,在职
E1313,销售,男,34,3.6,P2,10-15k,在职
E1314,技术,男,35,4.6,P2,10-15k,本年离职
E1315,市场,男,26,0.5,P1,6-10k,在职
E1316,技术,男,38,1.4,P5,35-50k,在职
E1317,产品,女,30,3.0,P5,35-50k,在职
E1318,职能,女,42,1.2,P4,25-35k,在职
E1319,客服,男,38,0.8,P1,6-10k,在职
E1320,技术,男,33,2.1,P2,10-15k,本年离职
E1321,销售,女,26,0.7,P3,15-25k,在职
E1322,技术,男,30,1.4,P2,10-15k,在职
E1323,技术,女,37,0.6,P4,25-35k,在职
E1324,技术,男,27,0.8,P3,15-25k,在职
E1325,职能,男,33,1.2,P2,10-15k,在职
E1326,产品,男,34,1.3,P1,6-10k,在职
E1327,客服,女,30,2.3,P3,15-25k,在职
E1328,技术,男,26,2.6,P4,25-35k,在职
E1329,市场,女,40,1.5,P3,15-25k,在职
E1330,销售,男,33,2.2,P2,10-15k,在职
E1331,市场,男,29,2.4,P3,15-25k,在职
E1332,客服,女,26,0.6,P3,15-25k,在职
E1333,客服,男,36,1.3,P4,25-35k,在职
E1334,职能,男,30,2.1,P3,15-25k,在职
E1335,技术,男,36,0.4,P4,25-35k,在职
E1336,职能,女,25,3.0,P2,10-15k,在职
E1337,客服,男,32,0.2,P1,6-10k,在职
E1338,产品,女,28,5.3,P4,25-35k,在职
E1339,产品,女,41,3.2,P6,50k+,在职
E1340,销售,女,33,0.6,P6,50k+,在职
E1341,市场,女,25,1.9,P4,25-35k,在职
E1342,技术,女,36,0.0,P3,15-25k,在职
E1343,技术,男,38,1.1,P2,10-15k,在职
E1344,技术,女,28,2.5,P5,35-50k,在职
E1345,市场,男,26,2.6,P3,15-25k,在职
E1346,技术,女,22,0.0,P4,25-35k,在职
E1347,客服,男,37,1.6,P3,15-25k,在职
E1348,销售,男,22,0.0,P5,35-50k,在职
E1349,技术,女,30,6.8,P3,15-25k,在职
E1350,职能,女,22,0.0,P2,10-15k,在职
E1351,技术,女,41,0.1,P5,35-50k,在职
E1352,职能,男,39,4.0,P2,10-15k,在职
E1353,客服,女,32,0.7,P2,10-15k,在职
E1354,销售,男,37,0.5,P2,10-15k,在职
E1355,技术,女,30,4.4,P2,10-15k,在职
E1356,销售,男,26,1.1,P4,25-35k,在职
E1357,销售,男,22,0.0,P3,15-25k,在职
E1358,产品,女,35,1.9,P4,25-35k,在职
E1359,职能,女,24,0.5,P2,10-15k,在职
E1360,技术,女,46,1.9,P3,15-25k,在职
E1361,客服,女,24,2.0,P4,25-35k,在职
E1362,销售,女,37,4.7,P2,10-15k,在职
E1363,销售,女,38,3.4,P2,10-15k,在职
E1364,技术,女,22,0.0,P2,10-15k,在职
E1365,技术,男,28,3.2,P2,10-15k,在职
E1366,销售,男,29,2.9,P3,15-25k,在职
E1367,职能,女,51,2.8,P1,6-10k,在职
E1368,客服,女,29,4.1,P3,15-25k,本年离职
E1369,技术,男,24,1.1,P4,25-35k,在职
E1370,客服,男,33,1.6,P4,25-35k,在职
E1371,技术,男,24,2.0,P3,15-25k,在职
E1372,客服,女,30,3.4,P3,15-25k,在职
E1373,技术,女,28,3.2,P6,50k+,本年离职
E1374,销售,女,34,0.7,P1,6-10k,在职
E1375,职能,女,27,1.3,P4,25-35k,本年离职
E1376,产品,女,26,4.0,P3,15-25k,在职
E1377,客服,男,37,3.1,P4,25-35k,在职
E1378,客服,男,32,0.9,P3,15-25k,在职
E1379,产品,女,31,2.0,P2,10-15k,在职
E1380,技术,女,22,0.0,P4,25-35k,在职
