订单号,日期,用户ID,渠道,类目,SKU,数量,单价,实付金额,是否退款
SO202501784,2025-09-11,11452,搜索,女装,女装-024,1,299,272.28,否
SO202502602,2025-09-11,10071,直播,女装,女装-022,2,269,478.14,否
SO202504289,2025-09-11,11576,直播,男装,男装-004,1,299,286.08,否
SO202500641,2025-09-11,10627,搜索,女装,女装-005,2,269,507.43,否
SO202502021,2025-09-11,10193,直播,美妆,美妆-001,1,129,115.31,否
SO202501004,2025-09-11,10557,推荐,数码,数码-002,1,859,769.9,否
SO202503258,2025-09-12,10791,直播,男装,男装-006,1,199,181.11,否
SO202504244,2025-09-12,10975,推荐,女装,女装-031,1,189,186.42,否
SO202502637,2025-09-12,10054,直播,美妆,美妆-011,3,129,379.68,否
SO202503664,2025-09-12,11753,搜索,女装,女装-033,2,289,551.47,否
SO202504465,2025-09-12,11001,搜索,男装,男装-020,1,299,265.46,否
SO202500816,2025-09-12,11581,搜索,女装,女装-001,1,169,149.1,否
SO202503605,2025-09-12,11966,推荐,美妆,美妆-001,3,129,331.2,否
SO202503370,2025-09-12,10164,社群,女装,女装-032,3,309,805.95,否
SO202500387,2025-09-12,11241,直播,女装,女装-026,2,209,410.28,否
SO202501312,2025-09-12,10405,直播,女装,女装-013,1,249,242.43,是
SO202503399,2025-09-12,10071,推荐,男装,男装-002,3,239,696.49,是
SO202503292,2025-09-12,11007,直播,美妆,美妆-011,3,129,360.28,否
SO202504021,2025-09-12,11292,直播,美妆,美妆-015,1,199,181.99,否
SO202501534,2025-09-12,11054,搜索,男装,男装-020,2,299,531.12,否
SO202502165,2025-09-13,10346,搜索,男装,男装-007,2,129,246.42,否
SO202504892,2025-09-13,11910,社群,家居,家居-013,1,39,33.58,是
SO202504210,2025-09-13,10476,搜索,男装,男装-012,3,139,414.23,否
SO202501018,2025-09-13,11432,社群,女装,女装-032,3,309,898.86,否
SO202500179,2025-09-13,10267,社群,家居,家居-010,1,179,157.28,否
SO202500311,2025-09-13,10333,直播,男装,男装-020,1,299,257.96,否
SO202504069,2025-09-13,10106,搜索,美妆,美妆-015,1,199,174.5,否
SO202504379,2025-09-13,11153,直播,女装,女装-031,2,189,371.83,否
SO202504688,2025-09-13,10849,搜索,家居,家居-005,3,59,156.49,是
SO202502249,2025-09-13,11491,搜索,女装,女装-027,2,149,266.86,否
SO202501642,2025-09-13,10341,搜索,家居,家居-001,1,39,33.16,否
SO202502603,2025-09-13,11682,直播,数码,数码-002,1,859,778.22,否
SO202501657,2025-09-13,10976,直播,美妆,美妆-003,1,119,105.47,否
SO202500739,2025-09-13,11397,直播,女装,女装-027,3,149,420.04,否
SO202502983,2025-09-13,10790,直播,男装,男装-014,2,149,258.31,否
SO202501783,2025-09-14,10397,社群,男装,男装-008,2,299,572.12,否
SO202504276,2025-09-14,11735,推荐,男装,男装-014,3,149,440.16,否
SO202502365,2025-09-14,11638,推荐,男装,男装-004,1,299,289.42,否
SO202502717,2025-09-14,10248,直播,女装,女装-021,3,269,729.41,否
SO202500831,2025-09-14,11192,搜索,女装,女装-032,1,309,270.29,否
SO202504817,2025-09-14,10117,推荐,男装,男装-006,1,199,178.21,否
SO202500858,2025-09-14,10828,搜索,女装,女装-001,3,169,490.99,否
SO202503430,2025-09-14,11054,直播,美妆,美妆-018,2,489,948.54,是
SO202500073,2025-09-14,10963,搜索,男装,男装-006,1,199,173.48,是
SO202504093,2025-09-14,10882,直播,女装,女装-032,1,309,279.41,否
SO202500345,2025-09-14,11234,搜索,男装,男装-022,2,229,442.62,否
SO202500353,2025-09-14,11213,推荐,女装,女装-023,2,169,292.63,否
SO202502182,2025-09-14,11751,搜索,男装,男装-006,1,199,189.31,否
SO202503224,2025-09-14,11214,直播,男装,男装-020,1,299,277.13,否
SO202500595,2025-09-14,10539,直播,女装,女装-034,2,259,455.38,否
SO202501558,2025-09-14,10212,搜索,男装,男装-019,2,189,347.09,否
SO202502896,2025-09-14,10808,直播,女装,女装-002,3,209,567.08,否
SO202503653,2025-09-15,10691,推荐,女装,女装-032,1,309,284.1,否
SO202504821,2025-09-15,10067,社群,男装,男装-008,2,299,549.9,否
SO202500019,2025-09-15,11696,推荐,男装,男装-004,3,299,887.13,否
SO202501968,2025-09-15,11491,直播,美妆,美妆-014,1,239,207.03,否
SO202501346,2025-09-15,11946,搜索,家居,家居-014,3,59,156.21,否
SO202501742,2025-09-15,11766,搜索,男装,男装-025,1,169,168.1,否
SO202503751,2025-09-15,11503,搜索,女装,女装-026,2,209,406.55,否
SO202501181,2025-09-15,10124,搜索,家居,家居-006,1,109,100.78,否
SO202500484,2025-09-15,10059,直播,美妆,美妆-018,1,489,479.44,否
SO202501869,2025-09-15,11401,搜索,女装,女装-032,2,309,552.61,否
SO202503784,2025-09-15,11144,社群,男装,男装-006,1,199,169.27,否
SO202501285,2025-09-15,11347,搜索,女装,女装-032,2,309,595.7,否
SO202500649,2025-09-15,10447,搜索,美妆,美妆-015,1,199,174.65,否
SO202503497,2025-09-16,11199,推荐,女装,女装-032,2,309,611.16,否
SO202502652,2025-09-16,10623,社群,女装,女装-023,1,169,150.31,否
SO202504562,2025-09-16,10685,搜索,女装,女装-005,2,269,500.16,否
SO202502847,2025-09-16,11910,社群,男装,男装-020,2,299,512.52,否
SO202500347,2025-09-16,11254,搜索,女装,女装-014,3,259,755.75,否
SO202502541,2025-09-16,10511,直播,女装,女装-023,1,169,145.31,否
SO202500098,2025-09-16,11910,社群,女装,女装-032,2,309,545.41,否
SO202502814,2025-09-16,10614,直播,家居,家居-014,2,59,101.13,否
SO202500507,2025-09-16,11593,推荐,美妆,美妆-007,1,159,150.08,否
SO202502687,2025-09-16,10080,搜索,女装,女装-005,1,269,242.47,否
SO202504644,2025-09-16,11980,直播,美妆,美妆-001,2,129,254.5,否
SO202500431,2025-09-16,11527,社群,美妆,美妆-001,2,129,230.99,否
SO202500557,2025-09-16,11876,搜索,女装,女装-033,1,289,253.24,否
SO202500985,2025-09-17,10882,直播,美妆,美妆-003,3,119,349.87,否
SO202503798,2025-09-17,11096,直播,男装,男装-008,2,299,539.48,否
SO202504979,2025-09-17,11376,社群,女装,女装-028,2,299,574.72,否
SO202500490,2025-09-17,11152,社群,女装,女装-005,1,269,268.04,否
SO202504262,2025-09-17,11644,直播,家居,家居-014,3,59,164.42,否
SO202502869,2025-09-17,11106,社群,美妆,美妆-011,2,129,221.42,否
SO202501321,2025-09-17,10007,直播,男装,男装-020,1,299,269.47,否
SO202502039,2025-09-17,11795,搜索,美妆,美妆-016,1,279,252.53,否
SO202502322,2025-09-17,10259,搜索,家居,家居-011,2,119,209.67,否
SO202502651,2025-09-17,11035,搜索,家居,家居-004,1,59,52.28,否
SO202501017,2025-09-17,11982,直播,家居,家居-007,1,199,173.24,是
SO202503814,2025-09-17,11106,搜索,美妆,美妆-017,2,359,639.56,否
SO202503715,2025-09-17,11962,直播,男装,男装-014,2,149,273.4,否
SO202500498,2025-09-17,11670,搜索,男装,男装-013,2,319,585.7,否
SO202501237,2025-09-17,11438,社群,家居,家居-005,2,59,101.27,否
SO202502867,2025-09-18,11408,直播,男装,男装-004,1,299,260.69,否
SO202503368,2025-09-18,10752,推荐,男装,男装-005,1,269,259.63,否
SO202502259,2025-09-18,11848,搜索,家居,家居-005,2,59,105.16,否
SO202504258,2025-09-18,11285,直播,美妆,美妆-001,2,129,236.07,否
SO202504252,2025-09-18,10546,搜索,女装,女装-014,1,259,240.5,否
SO202504994,2025-09-18,10455,推荐,美妆,美妆-007,1,159,149.26,否
SO202502167,2025-09-18,10651,社群,男装,男装-020,3,299,876.31,否
SO202503881,2025-09-18,10309,搜索,家居,家居-007,1,199,188.1,否
SO202503845,2025-09-18,10890,推荐,美妆,美妆-001,1,129,114.8,否
SO202504890,2025-09-18,11136,社群,女装,女装-025,1,159,154.6,否
SO202500373,2025-09-19,11663,推荐,美妆,美妆-015,1,199,192.93,是
SO202504895,2025-09-19,11199,直播,数码,数码-007,1,1359,1204.69,否
SO202501834,2025-09-19,10023,直播,男装,男装-006,1,199,178.09,否
SO202501603,2025-09-19,11584,推荐,美妆,美妆-015,1,199,196.47,否
SO202504770,2025-09-19,10286,搜索,家居,家居-005,2,59,109.52,否
SO202504003,2025-09-19,11663,搜索,女装,女装-001,1,169,158.23,否
SO202502976,2025-09-19,10298,社群,男装,男装-008,1,299,289.15,否
SO202501974,2025-09-19,11751,直播,家居,家居-005,3,59,163.64,否
SO202500577,2025-09-19,10067,搜索,家居,家居-004,3,59,158.72,否
SO202500339,2025-09-19,11007,直播,美妆,美妆-015,2,199,353.75,否
SO202500420,2025-09-20,10080,社群,女装,女装-021,3,269,703.73,否
SO202504649,2025-09-20,11124,社群,家居,家居-007,1,199,176.09,否
SO202503390,2025-09-20,10189,直播,家居,家居-004,1,59,58.37,否
SO202502716,2025-09-20,11813,推荐,美妆,美妆-002,1,369,351.19,否
SO202503359,2025-09-20,11956,推荐,美妆,美妆-017,2,359,654.75,否
SO202502076,2025-09-20,11157,推荐,美妆,美妆-018,2,489,873.77,否
SO202503126,2025-09-20,11777,推荐,美妆,美妆-020,1,479,464.27,是
SO202502344,2025-09-20,11693,直播,男装,男装-013,1,319,291.81,否
SO202500898,2025-09-20,11236,直播,女装,女装-021,3,269,707.76,否
SO202500054,2025-09-20,11969,直播,女装,女装-021,1,269,236.17,否
SO202502994,2025-09-20,11199,直播,女装,女装-001,1,169,153.07,否
SO202500524,2025-09-20,11701,推荐,美妆,美妆-015,1,199,197.72,否
SO202503261,2025-09-20,10319,搜索,家居,家居-012,1,169,156.82,否
SO202500590,2025-09-21,10917,社群,美妆,美妆-015,1,199,176.61,否
SO202502240,2025-09-21,11638,推荐,男装,男装-025,1,169,167.38,否
SO202500782,2025-09-21,10860,直播,美妆,美妆-002,3,369,1063.12,是
SO202504580,2025-09-21,10419,直播,女装,女装-021,3,269,784.61,否
SO202502614,2025-09-21,11773,社群,女装,女装-032,1,309,288.08,否
SO202504670,2025-09-21,10662,搜索,美妆,美妆-015,2,199,388.46,否
SO202503770,2025-09-21,11309,直播,美妆,美妆-018,2,489,940.56,否
SO202500969,2025-09-21,10070,搜索,男装,男装-013,1,319,288.77,否
SO202504538,2025-09-21,10037,直播,女装,女装-026,1,209,184.08,否
SO202500566,2025-09-21,10359,搜索,美妆,美妆-006,1,319,283.1,否
SO202500289,2025-09-21,11956,直播,美妆,美妆-018,1,489,433.09,否
SO202503093,2025-09-21,11264,社群,美妆,美妆-017,3,359,949.78,否
SO202500674,2025-09-21,11988,直播,美妆,美妆-014,3,239,713.02,否
SO202501334,2025-09-21,11797,直播,数码,数码-003,1,1699,1444.32,否
SO202501378,2025-09-21,11727,搜索,美妆,美妆-017,1,359,346.31,否
SO202501685,2025-09-21,11236,搜索,家居,家居-001,3,39,110.33,否
SO202500796,2025-09-21,10917,推荐,男装,男装-004,2,299,559.17,否
SO202501722,2025-09-22,11753,搜索,男装,男装-004,1,299,283.26,否
SO202503415,2025-09-22,11750,社群,家居,家居-005,1,59,50.39,否
SO202500376,2025-09-22,11539,直播,男装,男装-006,2,199,367.36,否
SO202501828,2025-09-22,10049,搜索,数码,数码-008,1,1259,1177.41,否
SO202501483,2025-09-22,10201,推荐,家居,家居-004,1,59,53.9,否
SO202503766,2025-09-22,11388,社群,美妆,美妆-018,2,489,933.1,否
SO202503538,2025-09-22,11361,直播,男装,男装-006,3,199,582.11,否
SO202501967,2025-09-22,11106,直播,女装,女装-031,1,189,171.98,否
SO202500712,2025-09-22,11783,直播,男装,男装-008,1,299,290.7,否
SO202503009,2025-09-23,11743,推荐,男装,男装-020,2,299,525.66,否
SO202500327,2025-09-23,11674,推荐,美妆,美妆-020,3,479,1230.13,否
SO202502419,2025-09-23,11356,社群,女装,女装-032,1,309,281.85,否
SO202500007,2025-09-23,10825,直播,男装,男装-022,2,229,396.42,否
SO202502255,2025-09-23,10981,直播,家居,家居-001,1,39,37.32,否
SO202502957,2025-09-23,11811,直播,数码,数码-009,1,1399,1277.52,否
SO202500251,2025-09-23,11309,推荐,美妆,美妆-016,1,279,253.05,否
SO202503924,2025-09-23,10795,直播,女装,女装-023,3,169,483.87,否
SO202503521,2025-09-23,11192,搜索,女装,女装-013,1,249,224.5,否
SO202504202,2025-09-23,11982,搜索,美妆,美妆-016,3,279,779.85,否
SO202502450,2025-09-23,11504,推荐,美妆,美妆-017,2,359,614.14,否
SO202502536,2025-09-23,11910,搜索,女装,女装-032,1,309,262.8,否
SO202503987,2025-09-23,10321,搜索,家居,家居-005,1,59,52.95,否
SO202502204,2025-09-24,11795,社群,男装,男装-025,1,169,166.36,否
SO202504186,2025-09-24,11509,搜索,美妆,美妆-014,3,239,641.38,是
SO202500709,2025-09-24,10447,推荐,美妆,美妆-003,1,119,115.58,否
SO202501382,2025-09-24,10529,社群,美妆,美妆-001,2,129,228.02,否
SO202503694,2025-09-24,11256,搜索,美妆,美妆-014,2,239,457.68,否
SO202500677,2025-09-24,11786,搜索,男装,男装-020,2,299,560.47,否
SO202504474,2025-09-24,10262,直播,女装,女装-010,2,239,466.61,否
SO202504591,2025-09-24,11083,搜索,家居,家居-014,3,59,157.95,是
SO202500768,2025-09-24,11239,搜索,美妆,美妆-018,3,489,1373.12,否
SO202500546,2025-09-24,11597,直播,美妆,美妆-007,2,159,314.37,否
SO202504632,2025-09-25,10736,推荐,数码,数码-007,1,1359,1283.48,否
SO202504834,2025-09-25,11853,推荐,美妆,美妆-014,2,239,467.21,否
SO202501638,2025-09-25,10023,直播,男装,男装-025,2,169,287.3,否
SO202501229,2025-09-25,11916,推荐,男装,男装-006,1,199,190.59,否
SO202503085,2025-09-25,10740,推荐,男装,男装-007,2,129,242.21,否
SO202501288,2025-09-25,11750,推荐,家居,家居-001,2,39,77.85,否
SO202500783,2025-09-25,11392,搜索,男装,男装-006,1,199,172.02,否
SO202503316,2025-09-25,11973,搜索,女装,女装-005,1,269,256.93,否
SO202502707,2025-09-25,10825,社群,家居,家居-012,1,169,152.2,否
SO202504329,2025-09-25,11022,直播,女装,女装-023,1,169,161.5,否
SO202504156,2025-09-25,11299,直播,女装,女装-021,1,269,237.72,否
SO202501037,2025-09-25,10406,直播,女装,女装-008,2,219,386.57,否
SO202500132,2025-09-25,10741,搜索,美妆,美妆-017,1,359,306.05,否
SO202501074,2025-09-25,11730,社群,美妆,美妆-001,1,129,112.43,否
SO202501500,2025-09-25,11567,推荐,男装,男装-005,2,269,491.93,否
SO202504746,2025-09-25,11025,直播,女装,女装-032,1,309,270.03,否
SO202501398,2025-09-25,10718,搜索,女装,女装-022,2,269,507.01,否
SO202504863,2025-09-26,10201,推荐,美妆,美妆-007,1,159,155.67,否
SO202500573,2025-09-26,10377,推荐,家居,家居-006,1,109,98.56,否
SO202501649,2025-09-26,11883,搜索,女装,女装-014,2,259,458.86,否
SO202503344,2025-09-26,10917,搜索,美妆,美妆-007,3,159,435.32,否
SO202503366,2025-09-26,11680,搜索,男装,男装-006,2,199,376.92,否
SO202504613,2025-09-26,11232,搜索,女装,女装-022,2,269,528.26,否
SO202501461,2025-09-26,11755,社群,家居,家居-004,2,59,102.25,否
SO202501669,2025-09-26,11025,社群,家居,家居-007,3,199,556.63,否
SO202500114,2025-09-26,11982,直播,美妆,美妆-007,3,159,471.31,否
SO202500508,2025-09-26,11259,直播,男装,男装-006,3,199,515.54,否
SO202500723,2025-09-26,10917,社群,女装,女装-001,1,169,166.47,是
SO202504218,2025-09-26,11204,推荐,女装,女装-025,1,159,155.56,否
SO202504084,2025-09-26,10497,直播,美妆,美妆-017,1,359,337.97,否
SO202504167,2025-09-26,10711,推荐,美妆,美妆-001,1,129,115.88,否
SO202500033,2025-09-26,11076,直播,美妆,美妆-011,1,129,126.83,否
SO202503467,2025-09-26,10886,直播,男装,男装-006,2,199,390.2,否
SO202504512,2025-09-26,11498,直播,男装,男装-008,1,299,264.44,否
SO202500233,2025-09-27,11968,搜索,男装,男装-003,1,189,177.85,否
SO202500893,2025-09-27,10974,搜索,家居,家居-014,1,59,57.4,否
SO202502735,2025-09-27,10073,社群,男装,男装-021,1,349,313.25,否
SO202500881,2025-09-27,11361,搜索,美妆,美妆-007,1,159,156.3,否
SO202500438,2025-09-27,11994,推荐,女装,女装-027,1,149,136.52,否
SO202502771,2025-09-27,11089,直播,数码,数码-001,1,2439,2156.95,是
SO202500385,2025-09-27,11658,搜索,家居,家居-014,1,59,51.66,否
SO202504503,2025-09-27,10064,社群,女装,女装-031,3,189,495.26,否
SO202500778,2025-09-27,10197,直播,男装,男装-004,1,299,266.71,否
SO202504144,2025-09-27,10119,社群,女装,女装-001,1,169,166.25,否
SO202503777,2025-09-27,10329,搜索,女装,女装-029,1,129,111.92,否
SO202502796,2025-09-27,11363,直播,男装,男装-020,3,299,765.22,否
SO202502445,2025-09-27,11355,直播,美妆,美妆-018,1,489,471.8,否
SO202503997,2025-09-27,10343,直播,女装,女装-032,2,309,600.49,否
SO202500626,2025-09-27,11155,推荐,女装,女装-022,1,269,232.44,否
SO202503137,2025-09-27,11778,社群,美妆,美妆-002,1,369,360.24,否
