日期,访客数,商品浏览,加购,下单,支付
2026-02-07,354,194,66,22,19
2026-02-08,132,76,24,10,9
2026-02-09,294,163,45,17,14
2026-02-10,175,94,29,13,11
2026-02-11,232,134,42,18,15
2026-02-12,185,108,34,14,11
2026-02-13,161,89,30,13,12
2026-02-14,274,162,49,20,17
2026-02-15,211,115,39,16,14
2026-02-16,247,135,44,17,14
2026-02-17,121,67,20,8,7
2026-02-18,208,114,36,14,11
2026-02-19,218,118,39,16,13
2026-02-20,253,134,43,15,13
2026-02-21,309,161,53,23,18
2026-02-22,274,152,47,22,19
2026-02-23,250,147,49,19,16
2026-02-24,160,92,29,13,11
2026-02-25,142,80,30,12,10
2026-02-26,359,211,62,24,20
2026-02-27,197,109,41,16,14
2026-02-28,376,196,59,24,20
2026-03-01,252,136,47,18,15
2026-03-02,85,47,16,7,6
2026-03-03,364,195,59,23,18
2026-03-04,211,120,40,15,12
2026-03-05,178,103,32,13,11
2026-03-06,271,135,44,17,13
2026-03-07,168,92,30,12,10
2026-03-08,393,182,57,23,18
2026-03-09,239,131,41,15,13
2026-03-10,149,82,27,12,10
2026-03-11,164,99,30,13,12
2026-03-12,287,171,52,20,16
2026-03-13,254,147,50,20,18
2026-03-14,232,121,40,17,14
2026-03-15,444,231,68,28,23
2026-03-16,309,160,48,22,19
2026-03-17,229,137,38,15,12
2026-03-18,179,94,32,14,12
2026-03-19,287,155,52,19,16
2026-03-20,101,53,16,6,5
2026-03-21,204,105,35,16,13
2026-03-22,267,150,54,21,17
2026-03-23,129,72,21,8,7
2026-03-24,233,113,35,14,12
2026-03-25,228,117,34,15,13
2026-03-26,152,85,29,11,9
2026-03-27,257,141,45,18,15
2026-03-28,184,99,31,11,10
2026-03-29,135,77,25,10,8
2026-03-30,325,165,51,22,19
2026-03-31,125,67,21,8,7
2026-04-01,221,125,41,15,12
2026-04-02,207,110,34,13,11
2026-04-03,355,199,62,24,19
2026-04-04,128,66,21,9,8
2026-04-05,241,127,41,17,14
2026-04-06,187,93,31,13,11
2026-04-07,208,102,34,14,12
2026-04-08,281,151,44,17,15
2026-04-09,147,83,29,11,9
2026-04-10,272,149,48,20,17
2026-04-11,157,92,29,13,11
2026-04-12,312,168,51,19,15
2026-04-13,154,75,27,10,8
2026-04-14,237,133,49,18,15
2026-04-15,226,117,42,18,15
2026-04-16,234,130,42,17,14
2026-04-17,240,116,38,16,14
2026-04-18,147,80,28,11,10
2026-04-19,355,203,64,27,21
2026-04-20,174,99,33,13,12
2026-04-21,270,147,48,17,13
2026-04-22,213,117,42,18,16
2026-04-23,224,120,42,17,14
2026-04-24,365,198,63,25,20
2026-04-25,195,111,39,16,13
2026-04-26,295,156,50,18,14
2026-04-27,229,122,38,16,14
2026-04-28,125,63,20,8,7
2026-04-29,189,108,35,14,11
2026-04-30,151,82,25,11,9
2026-05-01,175,90,28,12,10
2026-05-02,226,130,38,15,12
2026-05-03,239,131,40,16,13
2026-05-04,285,150,49,16,13
2026-05-05,269,155,53,20,16
2026-05-06,224,121,41,17,15
2026-05-07,235,118,39,15,12
2026-05-08,226,131,38,14,12
2026-05-09,315,165,50,21,18
2026-05-10,256,164,52,23,20
2026-05-11,203,109,37,14,12
2026-05-12,151,74,23,10,8
2026-05-13,302,182,54,23,18
2026-05-14,109,60,21,8,7
2026-05-15,181,101,31,12,10
2026-05-16,208,117,35,16,13
2026-05-17,295,150,49,18,15
2026-05-18,179,87,28,11,9
2026-05-19,148,90,28,13,10
2026-05-20,191,96,31,12,10
2026-05-21,148,89,27,12,10
2026-05-22,262,148,46,17,14
2026-05-23,344,191,61,25,21
2026-05-24,335,179,50,22,19
2026-05-25,242,150,51,20,16
2026-05-26,142,75,22,9,8
2026-05-27,206,109,33,14,12
2026-05-28,288,164,56,21,16
2026-05-29,141,75,25,12,10
2026-05-30,202,105,34,15,12
2026-05-31,338,185,53,21,17
2026-06-01,170,97,30,12,10
2026-06-02,176,107,34,16,13
2026-06-03,261,160,51,20,16
2026-06-04,181,90,31,12,10
2026-06-05,186,108,39,17,15
2026-06-06,370,192,64,23,17
2026-06-07,403,210,65,26,21
2026-06-08,201,107,37,15,12
2026-06-09,109,58,18,7,6
2026-06-10,360,186,50,18,15
2026-06-11,275,132,39,16,13
2026-06-12,246,146,40,17,14
2026-06-13,316,182,57,22,18
2026-06-14,627,344,109,40,30
2026-06-15,192,100,29,13,11
2026-06-16,145,85,26,11,10
2026-06-17,607,332,97,38,30
2026-06-18,913,485,154,66,53
2026-06-19,204,102,31,13,11
2026-06-20,228,129,44,20,17
2026-06-21,269,145,47,20,17
2026-06-22,255,142,50,18,15
2026-06-23,225,125,39,15,13
2026-06-24,251,143,52,20,17
2026-06-25,218,121,39,16,13
2026-06-26,209,113,35,14,12
2026-06-27,219,124,46,17,13
2026-06-28,506,292,83,35,27
2026-06-29,221,132,41,18,15
2026-06-30,302,156,45,18,15
2026-07-01,187,109,31,13,11
2026-07-02,435,218,61,23,18
2026-07-03,212,123,41,16,13
2026-07-04,365,194,57,22,18
2026-07-05,353,203,64,27,20
2026-07-06,229,136,46,19,16
2026-07-07,163,91,30,12,10
2026-07-08,193,106,35,14,12
2026-07-09,243,133,46,16,13
2026-07-10,173,93,33,15,12
2026-07-11,323,189,56,19,15
2026-07-12,210,115,38,16,14
2026-07-13,253,123,39,16,13
2026-07-14,190,110,35,14,12
2026-07-15,191,110,32,13,10
2026-07-16,304,168,52,20,16
2026-07-17,229,121,38,16,13
2026-07-18,366,189,66,24,19
2026-07-19,262,138,41,17,14
2026-07-20,309,172,47,18,16
2026-07-21,238,118,38,15,13
2026-07-22,88,50,15,6,5
2026-07-23,114,63,20,8,7
2026-07-24,203,120,40,17,13
2026-07-25,147,84,27,11,9
2026-07-26,223,118,37,16,14
2026-07-27,214,107,34,15,12
2026-07-28,258,136,46,19,15
2026-07-29,89,53,16,7,6
2026-07-30,218,122,41,19,14
2026-07-31,211,120,36,13,10
2026-08-01,271,144,48,21,16
2026-08-02,341,193,56,25,20
2026-08-03,317,160,53,22,18
2026-08-04,102,59,19,9,8
2026-08-05,246,127,41,19,15
2026-08-06,167,82,28,11,9
2026-08-07,265,164,50,20,16
2026-08-08,202,112,36,15,12
2026-08-09,242,134,44,17,14
2026-08-10,186,92,29,14,12
2026-08-11,182,104,35,15,11
2026-08-12,301,174,57,23,19
2026-08-13,112,61,19,7,6
2026-08-14,194,112,39,16,13
2026-08-15,278,163,54,20,17
2026-08-16,284,161,49,21,16
2026-08-17,373,181,55,18,14
2026-08-18,164,85,27,12,10
2026-08-19,151,91,30,12,9
2026-08-20,314,174,48,17,14
2026-08-21,267,148,45,18,15
2026-08-22,270,142,44,18,15
2026-08-23,354,188,55,22,18
2026-08-24,124,73,22,10,8
2026-08-25,213,127,41,17,14
2026-08-26,195,112,35,15,12
2026-08-27,225,128,40,16,13
2026-08-28,144,82,24,10,8
2026-08-29,381,209,66,24,21
2026-08-30,340,175,51,21,17
2026-08-31,173,88,31,12,10
