日期,基金代码,基金名称,单位净值
2024-03-06,F30021,蓝筹增强A,0.9778
2024-03-07,F30021,蓝筹增强A,0.9672
2024-03-08,F30021,蓝筹增强A,0.9777
2024-03-11,F30021,蓝筹增强A,0.98
2024-03-12,F30021,蓝筹增强A,0.9666
2024-03-13,F30021,蓝筹增强A,0.9722
2024-03-14,F30021,蓝筹增强A,0.993
2024-03-15,F30021,蓝筹增强A,0.9848
2024-03-18,F30021,蓝筹增强A,0.9824
2024-03-19,F30021,蓝筹增强A,0.9647
2024-03-20,F30021,蓝筹增强A,0.9635
2024-03-21,F30021,蓝筹增强A,0.9654
2024-03-22,F30021,蓝筹增强A,0.9875
2024-03-25,F30021,蓝筹增强A,0.9772
2024-03-26,F30021,蓝筹增强A,0.9881
2024-03-27,F30021,蓝筹增强A,0.9916
2024-03-28,F30021,蓝筹增强A,1.0173
2024-03-29,F30021,蓝筹增强A,1.0195
2024-04-01,F30021,蓝筹增强A,1.019
2024-04-02,F30021,蓝筹增强A,1.029
2024-04-03,F30021,蓝筹增强A,1.0349
2024-04-04,F30021,蓝筹增强A,1.0461
2024-04-05,F30021,蓝筹增强A,1.053
2024-04-08,F30021,蓝筹增强A,1.0356
2024-04-09,F30021,蓝筹增强A,1.0419
2024-04-10,F30021,蓝筹增强A,1.048
2024-04-11,F30021,蓝筹增强A,1.0393
2024-04-12,F30021,蓝筹增强A,1.0429
2024-04-15,F30021,蓝筹增强A,1.0215
2024-04-16,F30021,蓝筹增强A,1.0246
2024-04-17,F30021,蓝筹增强A,1.0327
2024-04-18,F30021,蓝筹增强A,1.0442
2024-04-19,F30021,蓝筹增强A,1.0527
2024-04-22,F30021,蓝筹增强A,1.0423
2024-04-23,F30021,蓝筹增强A,1.0252
2024-04-24,F30021,蓝筹增强A,1.0364
2024-04-25,F30021,蓝筹增强A,1.0413
2024-04-26,F30021,蓝筹增强A,1.0473
2024-04-29,F30021,蓝筹增强A,1.0677
2024-04-30,F30021,蓝筹增强A,1.0485
2024-05-01,F30021,蓝筹增强A,1.0704
2024-05-02,F30021,蓝筹增强A,1.0637
2024-05-03,F30021,蓝筹增强A,1.0739
2024-05-06,F30021,蓝筹增强A,1.0738
2024-05-07,F30021,蓝筹增强A,1.0698
2024-05-08,F30021,蓝筹增强A,1.0517
2024-05-09,F30021,蓝筹增强A,1.0438
2024-05-10,F30021,蓝筹增强A,1.0495
2024-05-13,F30021,蓝筹增强A,1.0539
2024-05-14,F30021,蓝筹增强A,1.0655
2024-05-15,F30021,蓝筹增强A,1.0573
2024-05-16,F30021,蓝筹增强A,1.0665
2024-05-17,F30021,蓝筹增强A,1.0675
2024-05-20,F30021,蓝筹增强A,1.0753
2024-05-21,F30021,蓝筹增强A,1.0818
2024-05-22,F30021,蓝筹增强A,1.0761
2024-05-23,F30021,蓝筹增强A,1.0794
2024-05-24,F30021,蓝筹增强A,1.0852
2024-05-27,F30021,蓝筹增强A,1.0951
2024-05-28,F30021,蓝筹增强A,1.1142
2024-05-29,F30021,蓝筹增强A,1.1063
2024-05-30,F30021,蓝筹增强A,1.0919
2024-05-31,F30021,蓝筹增强A,1.1081
2024-06-03,F30021,蓝筹增强A,1.0922
2024-06-04,F30021,蓝筹增强A,1.1052
2024-06-05,F30021,蓝筹增强A,1.094
2024-06-06,F30021,蓝筹增强A,1.0863
2024-06-07,F30021,蓝筹增强A,1.0855
2024-06-10,F30021,蓝筹增强A,1.0679
2024-06-11,F30021,蓝筹增强A,1.0563
2024-06-12,F30021,蓝筹增强A,1.0365
2024-06-13,F30021,蓝筹增强A,1.0445
2024-06-14,F30021,蓝筹增强A,1.0446
2024-06-17,F30021,蓝筹增强A,1.0449
2024-06-18,F30021,蓝筹增强A,1.0443
2024-06-19,F30021,蓝筹增强A,1.0442
2024-06-20,F30021,蓝筹增强A,1.0386
2024-06-21,F30021,蓝筹增强A,1.0501
2024-06-24,F30021,蓝筹增强A,1.0294
2024-06-25,F30021,蓝筹增强A,1.0128
2024-06-26,F30021,蓝筹增强A,1.0287
2024-06-27,F30021,蓝筹增强A,1.032
2024-06-28,F30021,蓝筹增强A,1.0086
2024-07-01,F30021,蓝筹增强A,1.0124
2024-07-02,F30021,蓝筹增强A,0.9944
2024-07-03,F30021,蓝筹增强A,1.0094
2024-07-04,F30021,蓝筹增强A,1.0201
2024-07-05,F30021,蓝筹增强A,1.0449
2024-07-08,F30021,蓝筹增强A,1.0415
2024-07-09,F30021,蓝筹增强A,1.0273
2024-07-10,F30021,蓝筹增强A,1.0212
2024-07-11,F30021,蓝筹增强A,1.0153
2024-07-12,F30021,蓝筹增强A,1.0199
2024-07-15,F30021,蓝筹增强A,0.999
2024-07-16,F30021,蓝筹增强A,0.9991
2024-07-17,F30021,蓝筹增强A,0.9877
2024-07-18,F30021,蓝筹增强A,0.9821
2024-07-19,F30021,蓝筹增强A,0.9978
2024-07-22,F30021,蓝筹增强A,1.0094
2024-07-23,F30021,蓝筹增强A,1.018
2024-07-24,F30021,蓝筹增强A,1.0255
2024-07-25,F30021,蓝筹增强A,1.0226
2024-07-26,F30021,蓝筹增强A,1.0221
2024-07-29,F30021,蓝筹增强A,1.0041
2024-07-30,F30021,蓝筹增强A,0.9903
2024-07-31,F30021,蓝筹增强A,0.9918
2024-08-01,F30021,蓝筹增强A,0.9794
2024-08-02,F30021,蓝筹增强A,0.9873
2024-08-05,F30021,蓝筹增强A,0.9868
2024-08-06,F30021,蓝筹增强A,0.9836
2024-08-07,F30021,蓝筹增强A,0.977
2024-08-08,F30021,蓝筹增强A,0.9821
2024-08-09,F30021,蓝筹增强A,0.9899
2024-08-12,F30021,蓝筹增强A,0.9801
2024-08-13,F30021,蓝筹增强A,0.9744
2024-08-14,F30021,蓝筹增强A,0.9725
2024-08-15,F30021,蓝筹增强A,0.9762
2024-08-16,F30021,蓝筹增强A,0.9797
2024-08-19,F30021,蓝筹增强A,0.9787
2024-08-20,F30021,蓝筹增强A,0.9868
2024-08-21,F30021,蓝筹增强A,0.9854
2024-08-22,F30021,蓝筹增强A,0.97
2024-08-23,F30021,蓝筹增强A,0.985
2024-08-26,F30021,蓝筹增强A,0.9962
2024-08-27,F30021,蓝筹增强A,0.9808
2024-08-28,F30021,蓝筹增强A,0.983
2024-08-29,F30021,蓝筹增强A,0.9978
2024-08-30,F30021,蓝筹增强A,0.9944
2024-09-02,F30021,蓝筹增强A,1.0033
2024-09-03,F30021,蓝筹增强A,1.0163
2024-09-04,F30021,蓝筹增强A,1.0195
2024-09-05,F30021,蓝筹增强A,1.0448
2024-09-06,F30021,蓝筹增强A,1.0527
2024-09-09,F30021,蓝筹增强A,1.0541
2024-09-10,F30021,蓝筹增强A,1.0522
2024-09-11,F30021,蓝筹增强A,1.0518
2024-09-12,F30021,蓝筹增强A,1.0452
2024-09-13,F30021,蓝筹增强A,1.0322
2024-09-16,F30021,蓝筹增强A,1.0218
2024-09-17,F30021,蓝筹增强A,1.0203
2024-09-18,F30021,蓝筹增强A,1.0298
2024-09-19,F30021,蓝筹增强A,1.0338
2024-09-20,F30021,蓝筹增强A,1.0359
2024-09-23,F30021,蓝筹增强A,1.0614
2024-09-24,F30021,蓝筹增强A,1.082
2024-09-25,F30021,蓝筹增强A,1.071
2024-09-26,F30021,蓝筹增强A,1.0798
2024-09-27,F30021,蓝筹增强A,1.0654
2024-09-30,F30021,蓝筹增强A,1.0688
2024-10-01,F30021,蓝筹增强A,1.0524
2024-10-02,F30021,蓝筹增强A,1.0453
2024-10-03,F30021,蓝筹增强A,1.0529
2024-10-04,F30021,蓝筹增强A,1.0476
2024-10-07,F30021,蓝筹增强A,1.0349
2024-10-08,F30021,蓝筹增强A,1.027
2024-10-09,F30021,蓝筹增强A,1.0162
2024-10-10,F30021,蓝筹增强A,1.0211
2024-10-11,F30021,蓝筹增强A,1.0353
2024-10-14,F30021,蓝筹增强A,1.0331
2024-10-15,F30021,蓝筹增强A,1.0454
2024-10-16,F30021,蓝筹增强A,1.0388
2024-10-17,F30021,蓝筹增强A,1.0377
2024-10-18,F30021,蓝筹增强A,1.0592
2024-10-21,F30021,蓝筹增强A,1.0572
2024-10-22,F30021,蓝筹增强A,1.0703
2024-10-23,F30021,蓝筹增强A,1.0617
2024-10-24,F30021,蓝筹增强A,1.0616
2024-10-25,F30021,蓝筹增强A,1.0514
2024-10-28,F30021,蓝筹增强A,1.0523
2024-10-29,F30021,蓝筹增强A,1.0553
2024-10-30,F30021,蓝筹增强A,1.0646
2024-10-31,F30021,蓝筹增强A,1.0578
2024-11-01,F30021,蓝筹增强A,1.0559
2024-11-04,F30021,蓝筹增强A,1.0704
2024-11-05,F30021,蓝筹增强A,1.0559
2024-11-06,F30021,蓝筹增强A,1.0267
2024-11-07,F30021,蓝筹增强A,1.0193
2024-11-08,F30021,蓝筹增强A,1.0265
2024-11-11,F30021,蓝筹增强A,1.0276
2024-11-12,F30021,蓝筹增强A,1.0166
2024-11-13,F30021,蓝筹增强A,1.0176
2024-11-14,F30021,蓝筹增强A,1.0135
2024-11-15,F30021,蓝筹增强A,0.9957
2024-11-18,F30021,蓝筹增强A,0.992
2024-11-19,F30021,蓝筹增强A,1.0006
2024-11-20,F30021,蓝筹增强A,0.9976
2024-11-21,F30021,蓝筹增强A,0.9806
2024-11-22,F30021,蓝筹增强A,1.0002
2024-11-25,F30021,蓝筹增强A,0.9891
2024-11-26,F30021,蓝筹增强A,0.9935
2024-11-27,F30021,蓝筹增强A,1.0031
2024-11-28,F30021,蓝筹增强A,1.0081
2024-11-29,F30021,蓝筹增强A,1.0055
2024-12-02,F30021,蓝筹增强A,0.9851
2024-12-03,F30021,蓝筹增强A,0.9985
2024-12-04,F30021,蓝筹增强A,0.9854
2024-12-05,F30021,蓝筹增强A,0.9965
2024-12-06,F30021,蓝筹增强A,1.0093
2024-12-09,F30021,蓝筹增强A,0.9955
2024-12-10,F30021,蓝筹增强A,0.9818
2024-12-11,F30021,蓝筹增强A,0.9775
2024-12-12,F30021,蓝筹增强A,0.9879
2024-12-13,F30021,蓝筹增强A,0.9814
2024-12-16,F30021,蓝筹增强A,0.9825
2024-12-17,F30021,蓝筹增强A,0.9771
2024-12-18,F30021,蓝筹增强A,0.986
2024-12-19,F30021,蓝筹增强A,0.979
2024-12-20,F30021,蓝筹增强A,0.9711
2024-12-23,F30021,蓝筹增强A,0.9599
2024-12-24,F30021,蓝筹增强A,0.9485
2024-12-25,F30021,蓝筹增强A,0.9602
2024-12-26,F30021,蓝筹增强A,0.9564
2024-12-27,F30021,蓝筹增强A,0.9463
2024-12-30,F30021,蓝筹增强A,0.9285
2024-12-31,F30021,蓝筹增强A,0.9258
2025-01-01,F30021,蓝筹增强A,0.9173
2025-01-02,F30021,蓝筹增强A,0.907
2025-01-03,F30021,蓝筹增强A,0.8991
2025-01-06,F30021,蓝筹增强A,0.9005
2025-01-07,F30021,蓝筹增强A,0.8888
2025-01-08,F30021,蓝筹增强A,0.8858
2025-01-09,F30021,蓝筹增强A,0.8949
2025-01-10,F30021,蓝筹增强A,0.8894
2025-01-13,F30021,蓝筹增强A,0.8788
2025-01-14,F30021,蓝筹增强A,0.8896
2025-01-15,F30021,蓝筹增强A,0.8888
2025-01-16,F30021,蓝筹增强A,0.8871
2025-01-17,F30021,蓝筹增强A,0.8925
2025-01-20,F30021,蓝筹增强A,0.8918
2025-01-21,F30021,蓝筹增强A,0.8926
2025-01-22,F30021,蓝筹增强A,0.8769
2025-01-23,F30021,蓝筹增强A,0.8687
2025-01-24,F30021,蓝筹增强A,0.8874
2025-01-27,F30021,蓝筹增强A,0.8771
2025-01-28,F30021,蓝筹增强A,0.8779
2025-01-29,F30021,蓝筹增强A,0.8956
2025-01-30,F30021,蓝筹增强A,0.9028
2025-01-31,F30021,蓝筹增强A,0.9059
2025-02-03,F30021,蓝筹增强A,0.8978
2025-02-04,F30021,蓝筹增强A,0.8915
2025-02-05,F30021,蓝筹增强A,0.8885
2025-02-06,F30021,蓝筹增强A,0.8921
2025-02-07,F30021,蓝筹增强A,0.9052
2025-02-10,F30021,蓝筹增强A,0.9065
2025-02-11,F30021,蓝筹增强A,0.9008
2025-02-12,F30021,蓝筹增强A,0.8999
2025-02-13,F30021,蓝筹增强A,0.9054
2025-02-14,F30021,蓝筹增强A,0.909
2025-02-17,F30021,蓝筹增强A,0.9065
2025-02-18,F30021,蓝筹增强A,0.8952
2025-02-19,F30021,蓝筹增强A,0.9063
2025-02-20,F30021,蓝筹增强A,0.9038
2025-02-21,F30021,蓝筹增强A,0.9064
2025-02-24,F30021,蓝筹增强A,0.8996
2025-02-25,F30021,蓝筹增强A,0.8925
2025-02-26,F30021,蓝筹增强A,0.8977
2025-02-27,F30021,蓝筹增强A,0.885
2025-02-28,F30021,蓝筹增强A,0.8735
2025-03-03,F30021,蓝筹增强A,0.8887
2025-03-04,F30021,蓝筹增强A,0.8972
2025-03-05,F30021,蓝筹增强A,0.9016
2025-03-06,F30021,蓝筹增强A,0.8908
2025-03-07,F30021,蓝筹增强A,0.8932
2025-03-10,F30021,蓝筹增强A,0.8925
2025-03-11,F30021,蓝筹增强A,0.8882
2025-03-12,F30021,蓝筹增强A,0.8874
2025-03-13,F30021,蓝筹增强A,0.8732
2025-03-14,F30021,蓝筹增强A,0.853
2025-03-17,F30021,蓝筹增强A,0.856
2025-03-18,F30021,蓝筹增强A,0.8577
2025-03-19,F30021,蓝筹增强A,0.8602
2025-03-20,F30021,蓝筹增强A,0.8679
2025-03-21,F30021,蓝筹增强A,0.8731
2025-03-24,F30021,蓝筹增强A,0.8881
2025-03-25,F30021,蓝筹增强A,0.9002
2025-03-26,F30021,蓝筹增强A,0.901
2025-03-27,F30021,蓝筹增强A,0.9027
2025-03-28,F30021,蓝筹增强A,0.9051
2025-03-31,F30021,蓝筹增强A,0.8896
2025-04-01,F30021,蓝筹增强A,0.8991
2025-04-02,F30021,蓝筹增强A,0.9052
2025-04-03,F30021,蓝筹增强A,0.8884
2025-04-04,F30021,蓝筹增强A,0.9043
2025-04-07,F30021,蓝筹增强A,0.9001
2025-04-08,F30021,蓝筹增强A,0.8989
2025-04-09,F30021,蓝筹增强A,0.8976
2025-04-10,F30021,蓝筹增强A,0.8959
2025-04-11,F30021,蓝筹增强A,0.9208
2025-04-14,F30021,蓝筹增强A,0.9182
2025-04-15,F30021,蓝筹增强A,0.915
2025-04-16,F30021,蓝筹增强A,0.9153
2025-04-17,F30021,蓝筹增强A,0.9066
2025-04-18,F30021,蓝筹增强A,0.9097
2025-04-21,F30021,蓝筹增强A,0.9014
2025-04-22,F30021,蓝筹增强A,0.9067
2025-04-23,F30021,蓝筹增强A,0.8961
2025-04-24,F30021,蓝筹增强A,0.8903
2025-04-25,F30021,蓝筹增强A,0.8802
2025-04-28,F30021,蓝筹增强A,0.875
2025-04-29,F30021,蓝筹增强A,0.8575
2025-04-30,F30021,蓝筹增强A,0.8341
2025-05-01,F30021,蓝筹增强A,0.8312
2025-05-02,F30021,蓝筹增强A,0.8169
2025-05-05,F30021,蓝筹增强A,0.8333
2025-05-06,F30021,蓝筹增强A,0.83
2025-05-07,F30021,蓝筹增强A,0.8368
2025-05-08,F30021,蓝筹增强A,0.8399
2025-05-09,F30021,蓝筹增强A,0.8299
2025-05-12,F30021,蓝筹增强A,0.826
2025-05-13,F30021,蓝筹增强A,0.8332
2025-05-14,F30021,蓝筹增强A,0.8397
2025-05-15,F30021,蓝筹增强A,0.8481
2025-05-16,F30021,蓝筹增强A,0.8419
2025-05-19,F30021,蓝筹增强A,0.8477
2025-05-20,F30021,蓝筹增强A,0.842
2025-05-21,F30021,蓝筹增强A,0.8518
2025-05-22,F30021,蓝筹增强A,0.8615
2025-05-23,F30021,蓝筹增强A,0.8482
2025-05-26,F30021,蓝筹增强A,0.851
2025-05-27,F30021,蓝筹增强A,0.8406
2025-05-28,F30021,蓝筹增强A,0.8487
2025-05-29,F30021,蓝筹增强A,0.838
2025-05-30,F30021,蓝筹增强A,0.8411
2025-06-02,F30021,蓝筹增强A,0.8484
2025-06-03,F30021,蓝筹增强A,0.8491
2025-06-04,F30021,蓝筹增强A,0.8576
2025-06-05,F30021,蓝筹增强A,0.8606
2025-06-06,F30021,蓝筹增强A,0.8762
2025-06-09,F30021,蓝筹增强A,0.8654
2025-06-10,F30021,蓝筹增强A,0.8617
2025-06-11,F30021,蓝筹增强A,0.8432
2025-06-12,F30021,蓝筹增强A,0.8405
2025-06-13,F30021,蓝筹增强A,0.8293
2025-06-16,F30021,蓝筹增强A,0.8165
2025-06-17,F30021,蓝筹增强A,0.8022
2025-06-18,F30021,蓝筹增强A,0.798
2025-06-19,F30021,蓝筹增强A,0.8004
2025-06-20,F30021,蓝筹增强A,0.8049
2025-06-23,F30021,蓝筹增强A,0.8143
2025-06-24,F30021,蓝筹增强A,0.8232
2025-06-25,F30021,蓝筹增强A,0.8128
2025-06-26,F30021,蓝筹增强A,0.806
2025-06-27,F30021,蓝筹增强A,0.8079
2025-06-30,F30021,蓝筹增强A,0.81
2025-07-01,F30021,蓝筹增强A,0.8229
2025-07-02,F30021,蓝筹增强A,0.8203
2025-07-03,F30021,蓝筹增强A,0.8276
2025-07-04,F30021,蓝筹增强A,0.8264
2025-07-07,F30021,蓝筹增强A,0.8299
2025-07-08,F30021,蓝筹增强A,0.8337
2025-07-09,F30021,蓝筹增强A,0.8336
2025-07-10,F30021,蓝筹增强A,0.8245
2025-07-11,F30021,蓝筹增强A,0.8272
2025-07-14,F30021,蓝筹增强A,0.8334
2025-07-15,F30021,蓝筹增强A,0.8345
2025-07-16,F30021,蓝筹增强A,0.8088
2025-07-17,F30021,蓝筹增强A,0.8073
2025-07-18,F30021,蓝筹增强A,0.8136
2025-07-21,F30021,蓝筹增强A,0.8047
2025-07-22,F30021,蓝筹增强A,0.8146
2025-07-23,F30021,蓝筹增强A,0.8091
2025-07-24,F30021,蓝筹增强A,0.8063
2025-07-25,F30021,蓝筹增强A,0.8083
2025-07-28,F30021,蓝筹增强A,0.7999
2025-07-29,F30021,蓝筹增强A,0.8084
2025-07-30,F30021,蓝筹增强A,0.8202
2025-07-31,F30021,蓝筹增强A,0.8101
2025-08-01,F30021,蓝筹增强A,0.8085
2025-08-04,F30021,蓝筹增强A,0.8263
2025-08-05,F30021,蓝筹增强A,0.8368
2025-08-06,F30021,蓝筹增强A,0.8217
2025-08-07,F30021,蓝筹增强A,0.8328
2025-08-08,F30021,蓝筹增强A,0.8011
2025-08-11,F30021,蓝筹增强A,0.8068
2025-08-12,F30021,蓝筹增强A,0.7991
2025-08-13,F30021,蓝筹增强A,0.8034
2025-08-14,F30021,蓝筹增强A,0.8057
2025-08-15,F30021,蓝筹增强A,0.8071
2025-08-18,F30021,蓝筹增强A,0.8126
2025-08-19,F30021,蓝筹增强A,0.8081
2025-08-20,F30021,蓝筹增强A,0.8027
2025-08-21,F30021,蓝筹增强A,0.8114
2025-08-22,F30021,蓝筹增强A,0.8116
2025-08-25,F30021,蓝筹增强A,0.8064
2025-08-26,F30021,蓝筹增强A,0.8049
2025-08-27,F30021,蓝筹增强A,0.8026
2025-08-28,F30021,蓝筹增强A,0.7995
2025-08-29,F30021,蓝筹增强A,0.8037
2025-09-01,F30021,蓝筹增强A,0.7959
2025-09-02,F30021,蓝筹增强A,0.8099
2025-09-03,F30021,蓝筹增强A,0.8121
2025-09-04,F30021,蓝筹增强A,0.7954
2025-09-05,F30021,蓝筹增强A,0.798
2025-09-08,F30021,蓝筹增强A,0.7897
2025-09-09,F30021,蓝筹增强A,0.7895
2025-09-10,F30021,蓝筹增强A,0.7883
2025-09-11,F30021,蓝筹增强A,0.7945
2025-09-12,F30021,蓝筹增强A,0.8006
2025-09-15,F30021,蓝筹增强A,0.8028
2025-09-16,F30021,蓝筹增强A,0.8205
2025-09-17,F30021,蓝筹增强A,0.8139
2025-09-18,F30021,蓝筹增强A,0.8268
2025-09-19,F30021,蓝筹增强A,0.8401
2025-09-22,F30021,蓝筹增强A,0.8434
2025-09-23,F30021,蓝筹增强A,0.848
2025-09-24,F30021,蓝筹增强A,0.8573
2025-09-25,F30021,蓝筹增强A,0.8543
2025-09-26,F30021,蓝筹增强A,0.8496
2025-09-29,F30021,蓝筹增强A,0.8453
2025-09-30,F30021,蓝筹增强A,0.8482
2025-10-01,F30021,蓝筹增强A,0.8438
2025-10-02,F30021,蓝筹增强A,0.837
2025-10-03,F30021,蓝筹增强A,0.8273
2025-10-06,F30021,蓝筹增强A,0.8182
2025-10-07,F30021,蓝筹增强A,0.8124
2025-10-08,F30021,蓝筹增强A,0.8068
2025-10-09,F30021,蓝筹增强A,0.8079
2025-10-10,F30021,蓝筹增强A,0.8009
2025-10-13,F30021,蓝筹增强A,0.8055
2025-10-14,F30021,蓝筹增强A,0.8239
2025-10-15,F30021,蓝筹增强A,0.8358
2025-10-16,F30021,蓝筹增强A,0.8259
2025-10-17,F30021,蓝筹增强A,0.8232
2025-10-20,F30021,蓝筹增强A,0.8115
2025-10-21,F30021,蓝筹增强A,0.8134
2025-10-22,F30021,蓝筹增强A,0.8158
2025-10-23,F30021,蓝筹增强A,0.8176
