问卷ID,部门,敬业度,薪酬满意度,管理满意度,成长满意度,工作生活平衡,NPS
Q5051,销售,3,2,2,4,5,7
Q5052,技术,5,4,3,4,4,7
Q5053,职能,5,3,4,4,4,7
Q5054,技术,5,4,3,4,4,9
Q5055,产品,4,4,4,4,3,3
Q5056,销售,2,4,3,3,3,7
Q5057,市场,3,3,4,3,3,9
Q5058,销售,3,2,3,4,2,6
Q5059,客服,3,2,3,3,3,3
Q5060,职能,4,3,4,5,2,6
Q5061,客服,1,3,2,2,3,5
Q5062,销售,4,4,3,3,3,3
Q5063,产品,4,4,3,3,3,8
Q5064,客服,3,2,3,4,4,6
Q5065,技术,5,5,4,4,3,6
Q5066,客服,3,2,3,3,2,8
Q5067,技术,3,3,4,5,3,7
Q5068,职能,4,3,4,4,4,10
Q5069,职能,4,2,4,4,3,7
Q5070,市场,3,2,4,3,4,5
Q5071,职能,5,4,3,3,3,6
Q5072,技术,4,4,4,5,5,8
Q5073,产品,4,3,3,2,3,5
Q5074,产品,4,3,4,3,5,8
Q5075,客服,4,3,3,3,4,5
Q5076,销售,3,1,3,3,3,6
Q5077,技术,3,5,4,4,4,8
Q5078,技术,4,4,4,3,3,10
Q5079,客服,3,3,3,2,3,5
Q5080,客服,4,3,3,3,2,7
Q5081,客服,3,1,2,4,3,7
Q5082,技术,4,3,4,3,4,5
Q5083,职能,3,4,3,4,3,9
Q5084,销售,3,3,1,4,3,8
Q5085,职能,3,4,5,4,4,10
Q5086,客服,3,4,2,3,2,4
Q5087,技术,4,4,3,4,3,6
Q5088,销售,2,3,2,4,3,6
Q5089,产品,3,4,3,4,4,7
Q5090,销售,4,2,3,2,3,7
Q5091,技术,4,4,4,4,4,7
Q5092,产品,3,4,3,4,4,8
Q5093,技术,4,4,3,3,5,2
Q5094,技术,5,4,4,4,4,9
Q5095,销售,4,3,3,4,2,10
Q5096,市场,2,3,4,3,4,6
Q5097,客服,3,4,4,3,3,7
Q5098,产品,4,3,4,3,4,10
Q5099,市场,2,4,4,3,3,7
Q5100,客服,2,4,3,4,2,7
Q5101,销售,4,3,4,4,3,10
Q5102,职能,4,3,4,3,3,10
Q5103,客服,3,3,2,4,2,4
Q5104,职能,3,3,4,4,3,7
Q5105,技术,5,3,3,2,4,10
Q5106,技术,3,3,3,3,3,9
Q5107,技术,3,3,4,4,3,9
Q5108,职能,4,3,4,3,4,2
Q5109,市场,3,2,2,3,5,3
Q5110,技术,3,4,4,4,3,10
Q5111,销售,4,4,3,4,2,8
Q5112,销售,3,4,4,4,2,7
Q5113,职能,4,3,3,5,3,5
Q5114,技术,4,3,5,3,3,7
Q5115,技术,4,3,4,4,5,9
Q5116,销售,2,3,3,4,4,4
Q5117,技术,4,3,5,4,3,6
Q5118,市场,2,4,5,4,5,8
Q5119,销售,3,3,3,3,3,8
Q5120,销售,3,2,3,4,3,5
Q5121,职能,4,3,4,3,3,10
Q5122,技术,4,3,3,4,4,10
Q5123,技术,3,3,3,4,4,4
Q5124,客服,3,2,4,4,4,10
Q5125,职能,3,4,4,4,4,10
Q5126,技术,4,3,3,4,4,8
Q5127,职能,4,3,5,4,2,7
Q5128,销售,3,4,2,4,2,8
Q5129,市场,4,3,4,5,2,8
Q5130,职能,4,4,3,4,3,7
Q5131,技术,3,4,5,4,3,10
Q5132,市场,3,3,3,3,4,3
Q5133,产品,4,3,3,3,3,6
Q5134,销售,2,2,2,3,3,8
Q5135,产品,3,4,5,4,3,7
Q5136,客服,3,3,3,3,3,8
Q5137,销售,3,3,4,4,2,4
Q5138,客服,2,2,3,3,3,6
Q5139,技术,3,3,3,4,4,10
Q5140,产品,2,4,2,4,4,4
Q5141,职能,4,3,4,3,3,7
Q5142,技术,4,3,4,3,2,7
Q5143,客服,3,3,3,4,4,7
Q5144,市场,3,4,5,4,3,8
Q5145,客服,4,2,3,2,3,6
Q5146,技术,4,4,4,4,5,7
Q5147,销售,3,4,3,5,3,7
Q5148,产品,5,2,3,4,3,7
Q5149,客服,3,2,3,4,2,6
Q5150,技术,4,3,3,2,4,10
Q5151,职能,3,4,4,4,3,5
Q5152,市场,3,3,3,4,4,8
Q5153,客服,2,3,2,3,4,4
Q5154,客服,5,1,4,3,3,10
Q5155,职能,3,4,4,4,4,8
Q5156,技术,4,1,4,5,4,5
Q5157,客服,3,4,2,5,2,6
Q5158,销售,3,4,3,4,2,3
Q5159,市场,3,3,3,3,3,6
Q5160,技术,4,2,3,4,4,9
Q5161,职能,4,3,4,4,4,10
Q5162,销售,3,4,3,3,4,9
Q5163,职能,3,4,4,4,5,7
Q5164,销售,2,4,3,3,3,8
Q5165,市场,2,3,4,3,4,9
Q5166,技术,3,5,4,5,3,10
Q5167,技术,4,2,4,4,4,6
Q5168,客服,3,2,2,3,2,10
Q5169,职能,4,2,4,4,4,5
Q5170,技术,4,4,3,3,3,10
Q5171,销售,3,2,3,3,4,5
Q5172,职能,3,4,3,4,4,6
Q5173,销售,3,3,3,4,2,6
Q5174,销售,3,3,4,3,2,5
Q5175,客服,5,3,3,3,3,7
Q5176,技术,4,3,5,4,4,10
Q5177,市场,4,4,3,3,3,3
Q5178,销售,3,3,4,3,3,6
Q5179,市场,3,4,3,4,3,5
Q5180,技术,5,5,3,4,4,10
Q5181,技术,5,3,4,3,3,10
Q5182,客服,3,4,4,3,3,6
Q5183,客服,3,3,3,3,2,5
Q5184,客服,3,3,3,2,3,3
Q5185,职能,4,2,4,3,4,10
Q5186,技术,5,3,4,4,4,10
Q5187,市场,4,3,3,5,3,3
Q5188,产品,3,4,3,3,3,9
Q5189,产品,5,3,4,4,4,5
Q5190,技术,4,4,4,3,3,7
Q5191,技术,5,3,3,5,5,5
Q5192,技术,4,3,3,4,4,3
Q5193,技术,5,2,2,3,3,8
Q5194,职能,4,2,4,4,4,10
Q5195,客服,3,2,4,3,4,4
Q5196,产品,4,3,2,4,2,9
Q5197,技术,4,3,4,4,4,10
Q5198,技术,4,4,4,1,4,9
Q5199,职能,4,5,5,3,3,10
Q5200,产品,3,4,3,4,3,10
Q5201,市场,3,3,4,4,3,10
Q5202,技术,4,3,4,4,4,5
Q5203,职能,3,4,3,5,3,9
Q5204,市场,4,3,4,3,3,10
Q5205,技术,4,4,5,5,4,6
Q5206,客服,3,3,2,4,3,0
Q5207,销售,4,3,4,2,5,4
Q5208,技术,4,3,3,5,3,6
Q5209,销售,3,3,2,4,3,8
Q5210,销售,4,1,3,3,2,5
Q5211,客服,4,3,3,3,2,6
Q5212,产品,4,2,3,3,3,6
Q5213,客服,3,3,2,4,2,6
Q5214,职能,4,3,3,4,4,7
Q5215,市场,4,4,3,4,4,6
Q5216,技术,4,3,5,4,4,10
Q5217,技术,5,3,4,4,3,10
Q5218,客服,3,3,4,3,3,4
Q5219,销售,4,2,3,4,2,7
Q5220,客服,5,3,4,4,3,3
Q5221,销售,2,3,3,4,3,3
Q5222,销售,5,2,3,3,3,9
Q5223,客服,4,2,2,2,2,10
Q5224,职能,5,3,4,3,3,7
Q5225,产品,3,3,4,4,4,10
Q5226,客服,3,2,4,4,3,5
Q5227,技术,4,3,4,4,2,7
Q5228,销售,4,2,2,3,4,10
Q5229,技术,4,3,4,3,4,6
Q5230,客服,3,2,3,2,3,8
Q5231,客服,4,3,4,3,4,5
Q5232,客服,3,3,3,3,3,5
Q5233,销售,3,3,3,3,3,5
Q5234,职能,4,3,5,4,4,3
Q5235,技术,4,3,4,4,4,10
Q5236,产品,4,4,4,4,3,8
Q5237,职能,3,1,3,4,3,7
Q5238,技术,4,3,3,3,4,6
Q5239,技术,3,3,5,3,4,8
Q5240,市场,4,3,5,4,4,9
Q5241,职能,3,3,3,4,4,7
Q5242,产品,4,4,3,4,2,10
Q5243,市场,4,4,3,4,3,8
Q5244,客服,3,2,3,2,3,6
Q5245,技术,3,4,5,4,4,10
Q5246,客服,4,2,3,5,4,5
Q5247,销售,4,3,3,3,3,4
Q5248,销售,4,2,2,3,2,6
Q5249,技术,4,3,3,4,3,8
Q5250,产品,3,2,5,3,3,7
Q5251,职能,4,3,4,3,3,10
Q5252,销售,3,2,4,3,3,8
Q5253,技术,3,2,4,3,5,8
Q5254,技术,3,4,4,4,4,8
Q5255,客服,4,3,3,4,2,6
Q5256,销售,3,3,3,2,2,8
Q5257,技术,5,2,5,4,3,8
Q5258,客服,4,3,3,3,3,6
Q5259,技术,4,4,4,5,4,5
Q5260,职能,4,3,3,5,4,6
